country,site,latitude,longitude
Indonesia,Tanjung Sentigi,-8.628,117.95365
Indonesia,Tanjung Tengah,-8.69207,117.98892
Solomon Islands,P10,-8.163763,156.997931
Solomon Islands,P11,-8.157302,157.007072
Solomon Islands,P12,-8.148056,157.019398
Solomon Islands,P13,-8.188337,156.958109
Solomon Islands,P14,-8.20477,156.963603
Solomon Islands,P15,-8.218504,156.97637
Solomon Islands,P16,-8.222677,156.996834
Solomon Islands,P17,-8.230893,157.013827
Solomon Islands,P18,-8.247339,157.029026
Solomon Islands,P4,-8.15584,156.95831
Solomon Islands,P6,-8.163896,156.970022
Solomon Islands,P7,-8.167485,156.9768
Fiji,C3,-17.063367,179.020033
Fiji,C3,-17.063367,179.020033
Fiji,C5,-17.060783,179.0013
Fiji,C5,-17.060783,179.0013
Fiji,Horse1,-17.48974,178.60028
Fiji,Horse2,-17.50096,178.59187
Fiji,Horse3,-17.50477,178.60004
Fiji,KB06,-17.0712,179.0342
Fiji,KB06,-17.0712,179.0342
Fiji,KB07,-17.08317,179.04076
Fiji,KB07,-17.08317,179.04076
Fiji,KB07,-17.08317,179.04076
Fiji,MM1,-17.3453951,178.5225964
Fiji,VIR6,-17.4611,178.4942
Fiji,VIR6,-17.4611,178.4942
Fiji,VIR7,-17.4466,178.4983
Fiji,VIR7,-17.4466,178.4983
Indonesia,Kayuadi Barat,-6.80719,120.775
Indonesia,Kayuadi Tenggara,-6.83133,120.81421
Indonesia,Kayuadi Timur,-6.78968,120.8084
Fiji,BU01,-17.75097551,178.7739944
Fiji,BU03,-17.734462,178.59043
Fiji,BU04,-17.71958293,178.741848
Fiji,BU05,-17.69145574,178.7364636
Fiji,BU10,-17.61911,178.77931
Fiji,LV01,-17.61747,178.79463
Fiji,LV05,-17.65785,178.8392
Fiji,LV07,-17.65547269,178.7440167
Fiji,LV08,-17.598,178.82516
Fiji,LV12,-17.56563,178.85141
Fiji,LV13,-17.61565,178.83603
Fiji,LV14,-17.66594123,178.8465614
Fiji,LV15,-17.64949,178.84181
Fiji,LV16,-17.65072,178.82857
Fiji,LV17,-17.65350977,178.7079048
Fiji,NA02,-17.72484,178.82768
Fiji,NA03,-17.74018493,178.8100433
Fiji,NA05,-17.72,178.85115
Fiji,NA07,-17.73409,178.84105
Fiji,TY06,-18.99221667,-179.8502833
Fiji,TY10,-19.00768333,-179.8595667
Fiji,TY12,-19.20944444,-179.9563889
Fiji,TY13,-18.99095,-179.8567167
Fiji,TY15,-18.99406667,-179.85595
Fiji,KD2,-17.3392,179.3717
Fiji,MD1,-17.3951,179.3662
Fiji,MD4,-17.4045,179.3866
Fiji,NC1,-17.2389,179.4391
Fiji,NC2,-17.2511,179.4384
Fiji,NF1,-17.3848,179.4099
Fiji,NF3,-17.3787,179.4189
Fiji,NF4,-17.3709,179.4239
Fiji,NS1,-17.3378,179.4467
